Client,data_recente,target,qt_faltas,moda_staff_faltante,moda_servico_faltante,moda_servico_cancelado,moda_staff_cancelado,antecedencia,qt_cancelamentos,moda_staff_prestou_servico,moda_dia,qte_servicos_por_dia,media,mediana,desvio_padrao,min,max,sum,qte_servico_recebido,recencia,ultimo_pagamento
KERT01,2018-06-20,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.5,84.66666666666667,82.0,16.165807537309522,70.0,102.0,254.0,3,50.0,172.0
COOM01,2018-06-15,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Thursday,1.0,70.0,70.0,,70.0,70.0,70.0,1,71.0,70.0
PEDM01,2018-06-09,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Saturday,1.0,60.0,60.0,,60.0,60.0,60.0,1,7.0,60.0
BAIS01,2018-06-09,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
FRAL01,2018-06-09,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
LEVL01,2018-07-18,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,71.5,92.0,48.590122453025366,0.0,102.0,286.0,4,19.0,102.0
JASA01,2018-07-19,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,1.3333333333333333,111.0,92.0,108.69529275302894,0.0,260.0,444.0,4,40.0,102.0
CHOT01,2018-06-09,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
KUZD01,2018-06-09,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
TINT01,2018-04-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
NEMM01,2018-06-09,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
OBRK01,2018-06-09,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
PER*01,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Thursday,1.6666666666666667,46.25,33.52,22.481163226132228,30.0,82.0,231.25,5,12.0,146.25
LEEP01,2018-07-17,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,53.333333333333336,60.0,11.547005383792515,40.0,60.0,160.0,3,35.0,60.0
NELT01,2018-07-28,0,0,nenhum,nenhum,SBD,SINEAD,2.0,5,SINEAD,Wednesday,1.0,68.83333333333333,50.0,58.58611894752317,30.0,250.0,826.0,12,32.0,52.0
LEL01,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
MORB01,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,2.0,74.25,77.5,26.31064423384574,40.0,102.0,297.0,4,26.0,187.0
ALCV01,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,KELLY,Thursday,1.0,55.0,55.0,,55.0,55.0,55.0,1,5.0,55.0
SCHJ01,2018-07-27,0,0,nenhum,nenhum,CCAMO,JJ,3.0,2,JJ,Thursday,1.7142857142857142,38.75,45.0,24.320305769608915,0.0,60.0,465.0,12,22.0,45.0
CLAM01,2018-07-24,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,114.66666666666667,102.0,40.513372277969324,82.0,160.0,344.0,3,14.0,102.0
LINM02,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,82.0,82.0,,82.0,82.0,82.0,1,46.0,82.0
TAYL02,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
PIPJ01,2018-07-17,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,53.333333333333336,60.0,11.547005383792515,40.0,60.0,160.0,3,35.0,60.0
MCCK01,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
DAJR01,2018-07-06,1,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,2.0,83.5,83.5,12.020815280171307,75.0,92.0,167.0,2,24.0,167.0
KULR01,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.0,60.0,60.0,,60.0,60.0,60.0,1,67.0,60.0
GIAL01,2018-06-12,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
WICJ01,2018-07-11,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Wednesday,1.0,40.0,40.0,,40.0,40.0,40.0,1,28.0,40.0
FELH01,2018-06-13,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,82.0,82.0,,82.0,82.0,82.0,1,78.0,82.0
HOLL01,2018-07-19,0,0,nenhum,nenhum,SBD,BECKY,2.0,2,SINEAD,Thursday,1.2727272727272727,70.5,51.0,46.48862557327661,45.0,225.0,987.0,14,22.0,120.0
BELK01,2018-06-27,0,0,nenhum,nenhum,nenhum,nenhum,,0,KELLY,Wednesday,1.0,55.0,55.0,,55.0,55.0,55.0,1,14.0,55.0
NEEL01,2018-07-28,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Wednesday,2.0,79.33333333333333,81.0,24.121912583098933,40.0,102.0,476.0,6,3.0,172.0
LIND01,2018-07-20,0,0,nenhum,nenhum,nenhum,nenhum,,0,JOANNE,Friday,2.0,116.75,83.5,90.49263321766401,50.0,250.0,467.0,4,14.0,300.0
ELSM01,2018-07-18,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,1.25,40.69,50.0,15.70845313835834,18.45,55.0,203.45,5,20.0,50.0
SHIG01,2018-06-13,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,1.5,64.0,92.0,55.569775957799216,0.0,100.0,192.0,3,54.0,0.0
MINA01,2018-06-13,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,82.0,82.0,,82.0,82.0,82.0,1,78.0,82.0
WARN01,2018-06-13,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.0,30.0,30.0,,30.0,30.0,30.0,1,33.0,30.0
MAKP01,2018-06-13,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
COLJ02,2018-06-13,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
SHAA01,2018-07-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Thursday,1.0,46.666666666666664,50.0,10.408329997330663,35.0,55.0,140.0,3,30.0,50.0
WALK_IN,2018-07-26,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,1.5,31.876388888888894,31.14,15.90332187271897,0.0,56.0,1147.5500000000002,36,2.0,30.73
FLAD01,2018-08-25,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,1.0,45.0,50.0,8.660254037844387,35.0,50.0,135.0,3,44.0,50.0
KUKK01,2018-07-31,0,1,SINEAD,CON,SBD,BECKY,18.375,8,BECKY,Thursday,1.1,94.72727272727273,50.0,82.49738287859913,42.0,250.0,1042.0,11,7.0,50.0
MACM01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
MCNR01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
MCND01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Saturday,1.0,35.0,35.0,,35.0,35.0,35.0,1,54.0,35.0
NOWT01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,82.0,82.0,,82.0,82.0,82.0,1,34.0,82.0
HILJ01,2018-07-26,0,0,nenhum,nenhum,CFC,JOANNE,0.6666666666666666,3,BECKY,Tuesday,1.25,76.66666666666667,50.0,66.61903060008632,50.0,250.0,1150.0,15,9.0,100.0
WONM02,2018-07-29,1,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,1.0714285714285714,81.6,52.0,73.8190838662818,32.0,260.0,1224.0,15,8.0,52.0
?A01,2018-07-21,0,0,nenhum,nenhum,nenhum,nenhum,,0,KELLY,Saturday,1.0,48.333333333333336,55.0,11.547005383792515,35.0,55.0,145.0,3,14.0,55.0
DES01,2018-07-21,1,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,1.0,60.0,60.0,,60.0,60.0,60.0,1,37.0,60.0
TSAR01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Thursday,1.0,40.0,40.0,,40.0,40.0,40.0,1,42.0,40.0
MARA01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Wednesday,1.0,70.0,70.0,,70.0,70.0,70.0,1,43.0,70.0
HACL01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
SUPR01,2018-04-05,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
STAD01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
BOOR01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
CAYK01,2018-07-26,0,0,nenhum,nenhum,nenhum,nenhum,,0,JOANNE,Saturday,3.0,50.38666666666667,52.0,20.368471346667132,20.0,70.0,453.48,9,42.0,172.73
TOMV01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
FAUA01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
KUMA01,2018-06-14,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
BRAN01,2018-07-26,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Thursday,1.0,42.5,42.5,8.660254037844387,35.0,50.0,170.0,4,21.0,50.0
DANJ03,2018-06-15,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Wednesday,1.0,82.0,82.0,,82.0,82.0,82.0,1,9.0,82.0
BREM01,2018-05-30,0,0,nenhum,nenhum,nenhum,nenhum,,0,SINEAD,Thursday,1.0,45.0,45.0,14.142135623730951,35.0,55.0,90.0,2,27.0,55.0
COLJ01,2018-07-25,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,53.333333333333336,60.0,11.547005383792515,40.0,60.0,160.0,3,40.0,60.0
KLEA01,2018-07-20,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.2,43.13333333333333,50.0,10.644560426183256,28.8,50.0,258.8,6,21.0,50.0
COLG01,2018-07-26,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.2857142857142858,62.388888888888886,50.0,24.12989088220102,50.0,140.0,1123.0,18,7.0,50.0
TINA02,2018-07-03,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,82.0,82.0,,82.0,82.0,82.0,1,18.0,82.0
THOD01,2018-07-26,0,0,nenhum,nenhum,SHCM,JJ,0.0,1,JJ,Friday,1.2,53.56666666666666,60.0,9.976305261301235,40.0,60.0,321.4,6,20.0,60.0
CRAY01,2018-06-15,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
SIRM01,2018-07-26,0,0,nenhum,nenhum,SBD,BECKY,7.0,1,BECKY,Friday,1.0,84.16666666666667,50.0,78.21396449755147,30.0,250.0,1010.0,12,13.0,50.0
CHEW01,2018-06-15,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,92.0,92.0,14.142135623730951,82.0,102.0,184.0,2,49.0,102.0
SPIJ01,2018-07-29,0,0,nenhum,nenhum,nenhum,nenhum,,0,BECKY,Friday,1.0,40.0,40.0,14.142135623730951,30.0,50.0,80.0,2,44.0,50.0
ROBT01,2018-07-20,0,0,nenhum,nenhum,nenhum,nenhum,,0,JOANNE,Friday,1.0,105.0,105.0,49.49747468305833,70.0,140.0,210.0,2,35.0,70.0
WIL*01,2018-07-19,0,0,nenhum,nenhum,SHCW,JJ,2.0,1,JJ,Friday,1.6666666666666667,75.2,70.0,21.194338866782324,52.0,102.0,376.0,5,27.0,172.0
REIL01,2018-06-15,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,1.0,61.0,61.0,12.727922061357855,52.0,70.0,122.0,2,7.0,52.0
HUDS01,2018-06-17,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Sunday,1.3333333333333333,69.6,70.7,16.378034070058593,52.0,85.0,278.4,4,2.0,85.0
