Code,Staff,Service,Date,TimeInt,turno
JUNJ01,JJ,CON,2018-03-14,950,tarde
NORJ01,JJ,SHCM,2018-03-14,960,tarde
CORS01,JJ,SHCW,2018-03-15,850,tarde
KERT01,JJ,SHCW,2018-03-15,600,manha
LEHJ01,JJ,SHCM,2018-03-15,1080,noite
SCHJ01,JJ,SHCM,2018-03-15,720,tarde
SCHJ01,JJ,CCAMO,2018-03-15,770,tarde
SCHJ02,JJ,SHCM,2018-03-15,920,tarde
THOD01,JJ,SHCM,2018-03-15,790,tarde
CHEW01,JJ,SHCW,2018-03-16,600,manha
PARC01,JJ,SHCW,2018-03-16,660,manha
SLEA01,JJ,SHCM,2018-03-16,720,tarde
STEH01,JJ,SHCM,2018-03-16,780,tarde
STRH01,JJ,SHCW,2018-03-16,1060,tarde
TSUL01,JJ,SHCW,2018-03-16,990,tarde
ERWS01,JJ,SHCW,2018-03-20,690,manha
HOT01,JJ,SHCW,2018-03-20,870,tarde
HUDS01,JJ,SHCW,2018-03-20,630,manha
MAIK01,JJ,SHCW,2018-03-20,1010,tarde
NGUS01,JJ,SHCW,2018-03-20,570,manha
BERI01,JJ,SHCM,2018-03-21,660,manha
CASH01,JJ,SHCW,2018-03-21,920,tarde
KRIJ01,JJ,SHCW,2018-03-21,600,manha
POTR01,JJ,SHCM,2018-03-21,990,tarde
ROLD01,JJ,SHCM,2018-03-21,770,tarde
YUES01,JJ,SHCW,2018-03-21,540,manha
GALB01,JJ,SHCM,2018-03-22,1050,tarde
GOSD01,JJ,SHCW,2018-03-22,790,tarde
HYSA01,JJ,SHCM,2018-03-22,660,manha
OKEM01,JJ,SHCW,2018-03-22,860,tarde
TAYD01,JJ,SHCW,2018-03-22,720,tarde
DAV*01,JJ,SHCW,2018-03-23,1040,tarde
DUFD01,JJ,CON,2018-03-23,640,manha
MOOH01,JJ,SHCW,2018-03-23,840,tarde
MUMK01,JJ,SHCW,2018-03-23,910,tarde
STEL01,JJ,SHCW,2018-03-23,970,tarde
TAYE01,JJ,SHCM,2018-03-23,790,tarde
WARG01,JJ,SHCW,2018-03-23,660,manha
APTM01,JJ,SHCM,2018-03-24,660,manha
HIMJ01,JJ,CON,2018-03-24,720,tarde
BRES01,JJ,SHCW,2018-03-27,760,tarde
BUSC01,JJ,SHCW,2018-03-27,990,tarde
DESA01,JJ,SHCW,2018-03-27,1080,noite
FELH01,JJ,SHCW,2018-03-27,630,manha
MINA01,JJ,SHCW,2018-03-27,690,manha
CAND01,JJ,SHCM,2018-03-28,1080,noite
CAND01,JJ,CCAMO,2018-03-28,1130,noite
HOP01,JJ,SHCW,2018-03-28,880,tarde
FLEC01,JJ,SHCW,2018-03-29,1050,tarde
LINM01,JJ,SHCW,2018-03-29,660,manha
REDM01,JJ,SHCW,2018-03-29,840,tarde
CHUC01,JJ,SHCW,2018-03-30,840,tarde
PRIM01,JJ,SHCW,2018-03-30,910,tarde
SLEA01,HOUSE,CON,2018-04-01,670,manha
BOSJ01,SINEAD,SHCW,2018-04-03,900,tarde
BREH01,JJ,SHCW,2018-04-03,840,tarde
DANJ01,SINEAD,SBD,2018-04-03,960,tarde
DOWR01,BECKY,SHCW,2018-04-03,1140,noite
LINJ01,JJ,SHCW,2018-04-03,600,manha
NICP01,BECKY,SHCM,2018-04-03,930,tarde
SKUD01,BECKY,SBD5+1,2018-04-03,600,manha
THOW01,JJ,SBD,2018-04-03,540,manha
WONM02,JJ,SBD,2018-04-03,480,manha
YATT01,BECKY,SHCM,2018-04-03,660,manha
BALJ01,SINEAD,SHCW,2018-04-04,600,manha
COLJ01,JJ,SHCM,2018-04-04,550,manha
KEN*01,SINEAD,SHCW,2018-04-04,660,manha
MARG01,JJ,SHCM,2018-04-04,920,tarde
SARA01,JJ,SHCM,2018-04-04,780,tarde
SCHH01,KELLY,CHLFH,2018-04-04,780,tarde
SCHH01,SINEAD,SBD,2018-04-04,930,tarde
SLUS01,JJ,SHCM,2018-04-04,730,tarde
WOOD01,KELLY,CTU,2018-04-04,600,manha
WOOD01,JJ,SHCW,2018-04-04,670,manha
BREM01,SINEAD,SHCM,2018-04-05,990,tarde
COOM01,SINEAD,SHCW,2018-04-05,780,tarde
DANJ02,BECKY,SHCW,2018-04-05,660,manha
HILJ01,SINEAD,SBD5+1,2018-04-05,940,tarde
HOLL01,KELLY,CTU,2018-04-05,780,tarde
HOLL01,SINEAD,SHCW,2018-04-05,870,tarde
JARS01,JJ,SHCW,2018-04-05,750,tarde
JASA01,JJ,SHCW,2018-04-05,600,manha
LYNG01,JJ,SHCM,2018-04-05,1070,tarde
PIPJ01,JJ,SHCM,2018-04-05,1020,tarde
SCHJ01,JJ,SHCM,2018-04-05,870,tarde
SHIG01,JJ,SHCW,2018-04-05,810,tarde
SHIG01,KELLY,CHLPL,2018-04-05,870,tarde
SUPR01,BECKY,SHCM,2018-04-05,980,tarde
TINT01,BECKY,SHCM,2018-04-05,910,tarde
VERM01,JJ,SHCW,2018-04-05,670,manha
BROS01,BECKY,SHCW,2018-04-06,600,manha
BUZI01,JJ,SHCW,2018-04-06,500,manha
HELJ01,BECKY,SHCM,2018-04-06,1050,tarde
KLEA01,BECKY,SHCM,2018-04-06,700,manha
KULR01,BECKY,SHCW,2018-04-06,990,tarde
LEEP01,JJ,SHCM,2018-04-06,560,manha
MCLI01,JJ,SHCM,2018-04-06,1110,noite
MORB01,KELLY,CFC,2018-04-06,660,manha
MORB01,BECKY,SBD,2018-04-06,780,tarde
NGUS01,KELLY,CALC,2018-04-06,750,tarde
NORE01,BECKY,SBD,2018-04-06,950,tarde
PLUJ01,JJ,SHCM,2018-04-06,690,manha
PLUJ01,JJ,CCAMO,2018-04-06,730,tarde
SINM01,JJ,SHCW,2018-04-06,630,manha
THOW02,JJ,SHCM,2018-04-06,790,tarde
