cliente,qte_faltas,moda_servico_faltante,moda_staff_faltante,moda_servico_cancelado,moda_staff_cancelado,moda_staff_cancelador_cancelado,antecedencia,qte_cancelamento,qte_servicos_por_dia,moda_staff_prestou_servico,moda_dia,mean,median,std,max,min,frequencia
KERT01,0.0,,,,,,,0.0,1.3333333333333333,JJ,Tuesday,89.0,92.0,15.790292376436016,102.0,70.0,4
COOM01,0.0,,,,,,,0.0,1.0,BECKY,Friday,75.0,75.0,7.0710678118654755,80.0,70.0,2
PEDM01,0.0,,,,,,,0.0,1.0,BECKY,Saturday,30.0,30.0,42.42640687119285,60.0,0.0,2
BAIS01,0.0,,,,,,,0.0,1.0,KELLY,Saturday,55.0,55.0,,55.0,55.0,1
FRAL01,0.0,,,,,,,0.0,2.0,JOANNE,Saturday,70.0,70.0,7.0710678118654755,75.0,65.0,2
LEVL01,0.0,,,,,,,0.0,1.0,JJ,Friday,71.5,92.0,48.590122453025366,102.0,0.0,4
JASA01,0.0,,,,,,,0.0,1.3333333333333333,JJ,Saturday,111.0,92.0,108.69529275302894,260.0,0.0,4
CHOT01,0.0,,,,,,,0.0,2.0,KELLY,Saturday,35.0,35.0,14.142135623730951,45.0,25.0,2
KUZD01,0.0,,,,,,,0.0,2.0,JOANNE,Saturday,62.5,62.5,3.5355339059327378,65.0,60.0,2
TINT01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,30.0,30.0,,30.0,30.0,1
NEMM01,0.0,,,,,,,0.0,1.0,JJ,Saturday,82.0,82.0,,82.0,82.0,1
OBRK01,0.0,,,,,,,0.0,1.0,KELLY,Saturday,35.0,35.0,,35.0,35.0,1
PER*01,0.0,,,,,,,0.0,1.5,JJ,Thursday,47.208333333333336,42.760000000000005,20.244322084640586,82.0,30.0,6
LEEP01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,53.333333333333336,60.0,11.547005383792515,60.0,40.0,3
NELT01,0.0,,,SBD,SINEAD,SBD,2.5,4.0,1.0,SINEAD,Wednesday,68.83333333333333,50.0,58.58611894752317,250.0,30.0,12
LEL01,0.0,,,,,,,0.0,2.0,KELLY,Tuesday,42.7,42.7,10.889444430272828,50.4,35.0,2
MORB01,0.0,,,,,,,0.0,2.0,JJ,Friday,78.16666666666667,77.5,23.549239195070967,102.0,40.0,6
ALCV01,0.0,,,,,,,0.0,2.0,KELLY,Tuesday,73.75,50.0,65.36755056346128,170.0,25.0,4
SCHJ01,0.0,,,CCAMO,JJ,CCAMO,3.0,2.0,1.8333333333333333,JJ,Tuesday,38.18181818181818,45.0,25.42368258855582,60.0,0.0,11
CLAM01,0.0,,,,,,,0.0,1.0,JJ,Friday,121.0,121.0,55.154328932550705,160.0,82.0,2
LINM02,0.0,,,,,,,0.0,1.5,JJ,Tuesday,71.57666666666667,82.0,36.76054451899935,102.0,30.73,3
TAYL02,0.0,,,,,,,0.0,1.0,JJ,Tuesday,82.0,82.0,,82.0,82.0,1
PIPJ01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,53.333333333333336,60.0,11.547005383792515,60.0,40.0,3
MCCK01,0.0,,,,,,,0.0,1.0,KELLY,Tuesday,55.0,55.0,,55.0,55.0,1
DAJR01,0.0,,,,,,,0.0,2.0,JJ,Tuesday,83.5,83.5,12.020815280171307,92.0,75.0,2
KULR01,0.0,,,,,,,0.0,1.0,BECKY,Friday,67.5,67.5,10.606601717798213,75.0,60.0,2
GIAL01,0.0,,,,,,,0.0,2.0,JJ,Tuesday,121.0,121.0,41.012193308819754,150.0,92.0,2
WICJ01,0.0,,,,,,,0.0,1.0,JJ,Wednesday,40.0,40.0,,40.0,40.0,1
FELH01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,92.0,92.0,14.142135623730951,102.0,82.0,2
HOLL01,0.0,,,SBD,BECKY,SBD,2.0,2.0,1.2727272727272727,SINEAD,Thursday,70.5,51.0,46.48862557327661,225.0,45.0,14
BELK01,0.0,,,,,,,0.0,1.0,KELLY,Wednesday,60.0,60.0,7.0710678118654755,65.0,55.0,2
NEEL01,0.0,,,,,,,0.0,2.0,JJ,Thursday,76.0,81.0,27.47119703738202,102.0,40.0,4
LIND01,0.0,,,,,,,0.0,2.0,JJ,Wednesday,83.5,83.5,12.020815280171307,92.0,75.0,2
ELSM01,0.0,,,,,,,0.0,1.25,BECKY,Thursday,40.69,50.0,15.70845313835834,55.0,18.45,5
SHIG01,0.0,,,,,,,0.0,1.6666666666666667,JJ,Thursday,86.8,100.0,51.95382565317014,140.0,0.0,5
MINA01,0.0,,,,,,,0.0,1.0,JJ,Tuesday,82.0,82.0,0.0,82.0,82.0,2
WARN01,0.0,,,,,,,0.0,1.0,BECKY,Friday,45.0,45.0,21.213203435596427,60.0,30.0,2
MAKP01,0.0,,,,,,,0.0,1.0,KELLY,Wednesday,35.0,35.0,,35.0,35.0,1
COLJ02,0.0,,,,,,,0.0,2.0,JJ,Wednesday,58.7,58.7,32.95117600329312,82.0,35.4,2
SHAA01,0.0,,,,,,,0.0,1.0,SINEAD,Thursday,46.666666666666664,50.0,10.408329997330664,55.0,35.0,3
WALK_IN,0.0,,,,,,,0.0,1.7058823529411764,BECKY,Saturday,33.22551724137931,37.52,17.349397393035815,56.0,0.0,29
FLAD01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,42.5,42.5,10.606601717798213,50.0,35.0,2
KUKK01,1.0,CON,SINEAD,SBD,BECKY,SBD,7.0,2.0,1.125,SINEAD,Thursday,104.66666666666667,50.0,88.85943956609225,250.0,42.0,9
MACM01,0.0,,,,,,,0.0,1.0,JOANNE,Thursday,140.0,140.0,,140.0,140.0,1
MCNR01,0.0,,,,,,,0.0,1.0,KELLY,Thursday,35.0,35.0,,35.0,35.0,1
MCND01,0.0,,,,,,,0.0,1.0,BECKY,Saturday,17.5,17.5,24.748737341529164,35.0,0.0,2
NOWT01,0.0,,,,,,,0.0,1.0,JJ,Friday,92.0,92.0,14.142135623730951,102.0,82.0,2
HILJ01,0.0,,,CFC,JOANNE,CFC,0.6666666666666666,3.0,1.2222222222222223,SINEAD,Friday,86.36363636363636,50.0,76.3246653805606,250.0,50.0,11
WONM02,0.0,,,,,,,0.0,1.0,JJ,Saturday,101.55555555555556,52.0,91.73754835277525,260.0,32.0,9
