Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,mes_nome,mes_n,dia_nome,dia_n
10,2018-03-15,Women's hair cut,KERT01,JJ,1,82.0,4.1,6.56,March,3,Thursday,3
100,2018-04-05,Women's hair cut,COOM01,SINEAD,1,70.0,3.5,5.6,April,4,Thursday,3
1000,2018-06-09,Consultation,PEDM01,JJ,1,0.0,0.0,0.0,June,6,Saturday,5
1001,2018-06-09,Women's hair cut,BAIS01,KELLY,1,55.0,2.75,4.4,June,6,Saturday,5
1003,2018-06-09,Women's hair cut,FRAL01,KELLY,1,65.0,3.25,5.2,June,6,Saturday,5
1003,2018-06-09,Color full color,FRAL01,JOANNE,1,75.0,3.75,6.0,June,6,Saturday,5
1006,2018-06-09,Blowdry,LEVL01,JJ,1,0.0,0.0,0.0,June,6,Saturday,5
1007,2018-06-09,Women's hair cut,JASA01,JJ,1,102.0,5.1,8.16,June,6,Saturday,5
1008,2018-06-09,Women's hair cut,CHOT01,KELLY,1,45.0,2.25,3.6,June,6,Saturday,5
1008,2018-06-09,Smart Bond,CHOT01,KELLY,1,25.0,1.25,2.0,June,6,Saturday,5
1009,2018-06-09,Women's hair cut,KUZD01,KELLY,1,65.0,3.25,5.2,June,6,Saturday,5
1009,2018-06-09,Color touch up,KUZD01,JOANNE,1,60.0,3.0,4.8,June,6,Saturday,5
101,2018-04-05,Men's hair cut,TINT01,BECKY,1,30.0,1.5,2.4,April,4,Thursday,3
1010,2018-06-09,Women's hair cut,NEMM01,JJ,1,82.0,4.1,6.56,June,6,Saturday,5
1011,2018-06-09,Blowdry,OBRK01,KELLY,1,35.0,1.75,2.8,June,6,Saturday,5
1012,2018-06-12,Blowdry,PER*01,JJ,1,52.0,2.6,4.16,June,6,Tuesday,1
1013,2018-06-12,Men's hair cut,LEEP01,JJ,1,60.0,3.0,4.8,June,6,Tuesday,1
1014,2018-06-12,Blowdry,NELT01,JJ,1,52.0,2.6,4.16,June,6,Tuesday,1
1015,2018-06-12,Men's hair cut,LEL01,KELLY,1,35.0,1.75,2.8,June,6,Tuesday,1
1015,2018-06-12,Shu cleansing oil sh400ml,LEL01,KELLY,1,50.4,2.52,4.032,June,6,Tuesday,1
1016,2018-06-12,Women's hair cut,MORB01,JJ,1,102.0,5.1,8.16,June,6,Tuesday,1
1016,2018-06-12,Color touch up,MORB01,JOANNE,1,70.0,3.5,5.6,June,6,Tuesday,1
1019,2018-06-12,Smart Bond,ALCV01,KELLY,1,25.0,1.25,2.0,June,6,Tuesday,1
1019,2018-06-12,Balayage,ALCV01,KELLY,1,170.0,8.5,13.6,June,6,Tuesday,1
1019,2018-06-12,Color toner,ALCV01,KELLY,1,45.0,2.25,3.6,June,6,Tuesday,1
102,2018-04-05,Men's hair cut,SCHJ01,JJ,1,60.0,3.0,4.8,April,4,Thursday,3
1020,2018-06-12,Partial highlights and color,CLAM01,JOANNE,1,160.0,8.0,12.8,June,6,Tuesday,1
1021,2018-06-12,Women's hair cut,LINM02,JJ,1,102.0,5.1,8.16,June,6,Tuesday,1
1021,2018-06-12,PO hydrate sh  250ml,LINM02,JJ,1,30.73,1.5365,2.4584,June,6,Tuesday,1
1022,2018-06-12,Women's hair cut,TAYL02,JJ,1,82.0,4.1,6.56,June,6,Tuesday,1
1023,2018-06-12,Men's hair cut,PIPJ01,JJ,1,60.0,3.0,4.8,June,6,Tuesday,1
1024,2018-06-12,Women's hair cut,MCCK01,KELLY,1,55.0,2.75,4.4,June,6,Tuesday,1
1025,2018-06-12,Women's hair cut,DAJR01,JJ,1,92.0,4.6,7.36,June,6,Tuesday,1
1025,2018-06-12,Color full color,DAJR01,JOANNE,1,75.0,3.75,6.0,June,6,Tuesday,1
1026,2018-06-12,Women's hair cut,KULR01,KELLY,1,75.0,3.75,6.0,June,6,Tuesday,1
1027,2018-06-12,Women's hair cut,GIAL01,JJ,1,92.0,4.6,7.36,June,6,Tuesday,1
1027,2018-06-12,Highlights partial,GIAL01,JOANNE,1,150.0,7.5,12.0,June,6,Tuesday,1
1028,2018-06-13,Men's hair cut,WICJ01,JJ,1,40.0,2.0,3.2,June,6,Wednesday,2
1029,2018-06-13,Women's hair cut,FELH01,JJ,1,102.0,5.1,8.16,June,6,Wednesday,2
103,2018-04-05,Color touch up,HOLL01,KELLY,1,55.0,2.75,4.4,April,4,Thursday,3
103,2018-04-05,Women's hair cut,HOLL01,SINEAD,1,80.0,4.0,6.4,April,4,Thursday,3
1030,2018-06-13,Women's hair cut,BELK01,KELLY,1,55.0,2.75,4.4,June,6,Wednesday,2
1032,2018-06-13,Women's hair cut,NEEL01,JJ,1,102.0,5.1,8.16,June,6,Wednesday,2
1032,2018-06-13,Color touch up,NEEL01,JOANNE,1,70.0,3.5,5.6,June,6,Wednesday,2
1033,2018-06-13,Color full color,LIND01,JOANNE,1,75.0,3.75,6.0,June,6,Wednesday,2
1033,2018-06-13,Women's hair cut,LIND01,JJ,1,92.0,4.6,7.36,June,6,Wednesday,2
1034,2018-06-13,Blowdry,ELSM01,KELLY,1,55.0,2.75,4.4,June,6,Wednesday,2
1035,2018-06-13,Highlights partial,SHIG01,JOANNE,1,140.0,7.0,11.2,June,6,Wednesday,2
1035,2018-06-13,Women's hair cut,SHIG01,JJ,1,102.0,5.1,8.16,June,6,Wednesday,2
1037,2018-06-13,Women's hair cut,MINA01,JJ,1,82.0,4.1,6.56,June,6,Wednesday,2
1038,2018-06-13,Men's hair cut,WARN01,JJ,1,60.0,3.0,4.8,June,6,Wednesday,2
1039,2018-06-13,Men's hair cut,MAKP01,KELLY,1,35.0,1.75,2.8,June,6,Wednesday,2
104,2018-04-05,Women's hair cut,SHIG01,JJ,1,92.0,4.6,7.36,April,4,Thursday,3
104,2018-04-05,Highlights partial,SHIG01,KELLY,1,100.0,5.0,8.0,April,4,Thursday,3
1040,2018-06-13,Women's hair cut,COLJ02,JJ,1,82.0,4.1,6.56,June,6,Wednesday,2
1040,2018-06-13,PO CV instant levitation mist,COLJ02,JJ,1,35.4,1.77,2.832,June,6,Wednesday,2
1041,2018-06-14,Men's hair cut,SHAA01,BECKY,1,50.0,2.5,4.0,June,6,Thursday,3
1042,2018-06-14,miscellaneous,WALK_IN,HOUSE,1,0.0,0.0,0.0,June,6,Thursday,3
1043,2018-06-14,Men's hair cut,FLAD01,BECKY,1,50.0,2.5,4.0,June,6,Thursday,3
1045,2018-06-14,Blowdry,KUKK01,BECKY,1,50.0,2.5,4.0,June,6,Thursday,3
1046,2018-06-14,Highlights full,MACM01,JOANNE,1,140.0,7.0,11.2,June,6,Thursday,3
1047,2018-06-14,Men's hair cut,MCNR01,KELLY,1,35.0,1.75,2.8,June,6,Thursday,3
1048,2018-06-14,Men's hair cut,MCND01,BECKY,1,0.0,0.0,0.0,June,6,Thursday,3
1049,2018-06-14,Women's hair cut,NOWT01,JJ,1,102.0,5.1,8.16,June,6,Thursday,3
105,2018-04-05,Blow dry bundle 5+1,HILJ01,SINEAD,1,230.0,11.5,18.4,April,4,Thursday,3
1051,2018-06-14,Blow dry bundle 5+1,WONM02,HOUSE,1,260.0,13.0,20.8,June,6,Thursday,3
1052,2018-06-14,Blowdry,?A01,KELLY,1,35.0,1.75,2.8,June,6,Thursday,3
1053,2018-06-14,Women's hair cut,DES01,BECKY,1,60.0,3.0,4.8,June,6,Thursday,3
1054,2018-06-14,Men's hair cut,TSAR01,JJ,1,60.0,3.0,4.8,June,6,Thursday,3
1057,2018-06-14,Women's hair cut,MARA01,BECKY,1,80.0,4.0,6.4,June,6,Thursday,3
1058,2018-06-14,Women's hair cut,HACL01,JJ,1,82.0,4.1,6.56,June,6,Thursday,3
106,2018-04-05,Men's hair cut,SUPR01,BECKY,1,30.0,1.5,2.4,April,4,Thursday,3
1060,2018-06-14,miscellaneous,STAD01,KELLY,1,25.0,1.25,2.0,June,6,Thursday,3
1061,2018-06-14,Women's hair cut,BOOR01,JJ,1,82.0,4.1,6.56,June,6,Thursday,3
1062,2018-06-14,Treatments 1,CAYK01,JOANNE,1,20.0,1.0,1.6,June,6,Thursday,3
1062,2018-06-14,Blowdry,CAYK01,JJ,1,52.0,2.6,4.16,June,6,Thursday,3
1062,2018-06-14,Color touch up,CAYK01,JOANNE,1,70.0,3.5,5.6,June,6,Thursday,3
1062,2018-06-14,PO strength cure sh 250ml,CAYK01,JOANNE,1,30.73,1.5365,2.4584,June,6,Thursday,3
1064,2018-06-14,Blowdry,TOMV01,JJ,1,32.0,1.6,2.56,June,6,Thursday,3
1065,2018-06-14,Color toner,FAUA01,KELLY,1,45.0,2.25,3.6,June,6,Thursday,3
1065,2018-06-14,Women's hair cut,FAUA01,KELLY,1,45.0,2.25,3.6,June,6,Thursday,3
1066,2018-06-14,Women's hair cut,KUMA01,KELLY,1,55.0,2.75,4.4,June,6,Thursday,3
1067,2018-06-15,Men's hair cut,BRAN01,BECKY,1,50.0,2.5,4.0,June,6,Friday,4
1068,2018-06-15,Blowdry,DANJ03,JJ,1,52.0,2.6,4.16,June,6,Friday,4
107,2018-04-05,Men's hair cut,BREM01,SINEAD,1,35.0,1.75,2.8,April,4,Thursday,3
1070,2018-06-15,Men's hair cut,COLJ01,JJ,1,60.0,3.0,4.8,June,6,Friday,4
1071,2018-06-15,Men's hair cut,KLEA01,BECKY,1,50.0,2.5,4.0,June,6,Friday,4
1071,2018-06-15,KM Night Rider 100g,KLEA01,BECKY,1,28.8,1.44,2.304,June,6,Friday,4
1072,2018-06-15,Blowdry,COLG01,BECKY,1,50.0,2.5,4.0,June,6,Friday,4
1073,2018-06-15,Women's hair cut,TINA02,JJ,1,82.0,4.1,6.56,June,6,Friday,4
1074,2018-06-15,Men's hair cut,THOD01,JJ,1,60.0,3.0,4.8,June,6,Friday,4
1074,2018-06-15,Shu urban moisture sh 300,THOD01,JJ,1,41.4,2.07,3.312,June,6,Friday,4
1075,2018-06-15,Women's hair cut,CRAY01,KELLY,1,55.0,2.75,4.4,June,6,Friday,4
1075,2018-06-15,Shu BB cream thick 150m,CRAY01,KELLY,1,37.8,1.89,3.024,June,6,Friday,4
1076,2018-06-15,Women's hair cut,COOM01,BECKY,1,80.0,4.0,6.4,June,6,Friday,4
1077,2018-06-15,Blowdry,SIRM01,BECKY,1,50.0,2.5,4.0,June,6,Friday,4
1078,2018-06-15,Women's hair cut,CHEW01,JJ,1,0.0,0.0,0.0,June,6,Friday,4
1079,2018-06-15,Men's hair cut,SPIJ01,BECKY,1,50.0,2.5,4.0,June,6,Friday,4
108,2018-04-05,Men's hair cut,PIPJ01,JJ,1,40.0,2.0,3.2,April,4,Thursday,3
1080,2018-06-15,Color touch up,ROBT01,JOANNE,1,70.0,3.5,5.6,June,6,Friday,4
1082,2018-06-15,Blowdry,WIL*01,JJ,1,52.0,2.6,4.16,June,6,Friday,4
1083,2018-06-15,Blowdry,REIL01,BECKY,1,50.0,2.5,4.0,June,6,Friday,4
1084,2018-06-15,Color full color,HUDS01,JOANNE,1,85.0,4.25,6.8,June,6,Friday,4
1085,2018-06-15,Women's hair cut,TINA01,JJ,1,102.0,5.1,8.16,June,6,Friday,4
1087,2018-06-15,Color touch up,YANC01,JOANNE,1,50.0,2.5,4.0,June,6,Friday,4
1088,2018-06-15,Blowdry,WARG01,JJ,1,52.0,2.6,4.16,June,6,Friday,4
1090,2018-06-15,Accent lights and color,SCHC01,JOANNE,1,140.0,7.0,11.2,June,6,Friday,4
1090,2018-06-15,PO hydrate sh  250ml,SCHC01,JOANNE,1,30.73,1.5365,2.4584,June,6,Friday,4
1091,2018-06-15,Women's hair cut,MACV01,BECKY,1,60.0,3.0,4.8,June,6,Friday,4
1092,2018-06-15,Blowdry,HILJ01,BECKY,1,50.0,2.5,4.0,June,6,Friday,4
1092,2018-06-15,Color touch up,HILJ01,JOANNE,1,70.0,3.5,5.6,June,6,Friday,4
1093,2018-06-15,Women's hair cut,VERR01,JJ,1,82.0,4.1,6.56,June,6,Friday,4
1094,2018-06-15,Blowdry,CARK01,KELLY,1,35.0,1.75,2.8,June,6,Friday,4
1095,2018-06-15,Women's hair cut,TAGS02,KELLY,1,65.0,3.25,5.2,June,6,Friday,4
1095,2018-06-15,Color touch up,TAGS02,KELLY,1,45.0,2.25,3.6,June,6,Friday,4
1096,2018-06-15,Women's hair cut,OSES01,JJ,1,82.0,4.1,6.56,June,6,Friday,4
1097,2018-06-15,Men's hair cut,ALIA01,BECKY,1,50.0,2.5,4.0,June,6,Friday,4
1099,2018-06-16,Blowdry,MASR01,JJ,1,32.0,1.6,2.56,June,6,Saturday,5
11,2018-03-15,Men's camo color,SCHJ01,JJ,1,0.0,0.0,0.0,March,3,Thursday,3
11,2018-03-15,Men's hair cut,SCHJ01,JJ,1,0.0,0.0,0.0,March,3,Thursday,3
11,2018-03-15,Consultation,SCHJ01,JJ,1,0.0,0.0,0.0,March,3,Thursday,3
1101,2018-06-16,Men's hair cut,MARG01,JJ,1,60.0,3.0,4.8,June,6,Saturday,5
1102,2018-06-16,Color touch up,TUMM01,JOANNE,1,70.0,3.5,5.6,June,6,Saturday,5
1102,2018-06-16,Blowdry,TUMM01,KELLY,1,55.0,2.75,4.4,June,6,Saturday,5
1103,2018-06-16,Men's hair cut,MAXI01,KELLY,1,35.0,1.75,2.8,June,6,Saturday,5
1104,2018-06-16,Women's hair cut,SCHH01,JJ,1,102.0,5.1,8.16,June,6,Saturday,5
1105,2018-06-16,Women's hair cut,GARJ01,JJ,1,102.0,5.1,8.16,June,6,Saturday,5
1105,2018-06-16,Color full color,GARJ01,JOANNE,1,85.0,4.25,6.8,June,6,Saturday,5
