iter	Passed	Remaining
0	1	1030
1	1	811
2	2	734
3	2	669
4	3	627
5	3	592
6	3	559
7	4	555
8	5	551
9	5	542
10	5	534
11	6	527
12	6	522
13	7	519
14	7	512
15	8	509
16	8	501
17	9	499
18	9	498
19	10	492
20	10	491
21	11	491
22	11	487
23	11	486
24	12	487
25	13	488
26	13	488
27	14	488
28	14	487
29	15	485
30	15	486
31	16	487
32	16	483
33	16	480
34	17	480
35	17	474
36	18	474
37	18	473
38	19	468
39	19	467
40	19	466
41	20	466
42	20	462
43	21	461
44	21	458
45	22	458
46	22	453
47	22	453
48	23	450
49	23	450
50	24	447
51	24	445
52	24	446
53	25	449
54	26	449
55	26	450
56	27	450
57	27	450
58	28	450
59	28	450
60	29	450
61	29	450
62	30	450
63	30	450
64	31	450
65	31	450
66	32	449
67	32	449
68	33	447
69	33	446
70	34	446
71	34	444
72	34	444
73	35	443
74	35	442
75	36	441
76	36	441
77	37	440
78	37	440
79	38	440
80	38	439
81	39	439
82	39	438
83	40	438
84	40	438
85	41	438
86	41	438
87	42	438
88	42	438
89	43	438
90	43	437
91	44	437
92	44	437
93	45	436
94	45	437
95	46	436
96	46	436
97	47	435
98	47	435
99	48	435
100	48	434
101	49	433
102	49	433
103	50	432
104	50	432
105	51	431
106	51	430
107	52	430
108	52	429
109	52	428
110	53	427
111	53	427
112	54	426
113	54	424
114	55	424
115	55	423
116	56	423
117	56	422
118	57	422
119	57	422
120	58	422
121	58	422
122	59	422
123	59	421
124	60	421
125	60	419
126	60	418
127	61	418
128	62	419
129	62	419
130	63	419
131	63	418
132	64	418
133	64	417
134	65	417
135	65	416
136	66	416
137	66	415
138	67	415
139	67	414
140	67	414
141	68	413
142	68	413
143	69	412
144	69	412
145	70	411
146	70	410
147	71	410
148	71	409
149	72	408
150	72	408
151	72	406
152	73	406
153	74	407
154	74	407
155	75	407
156	75	406
157	76	406
158	76	405
159	77	405
160	77	404
161	78	404
162	78	403
163	79	403
164	79	403
165	80	402
166	80	402
167	81	401
168	81	401
169	82	400
170	82	399
171	82	398
172	83	398
173	83	397
174	84	396
175	84	396
176	85	395
177	85	395
178	86	394
179	86	393
180	86	393
181	87	392
182	87	392
183	88	392
184	88	391
185	89	391
186	90	391
187	90	391
188	91	390
189	91	390
190	92	390
191	92	389
192	93	389
193	93	389
194	94	388
195	94	388
196	95	388
197	95	387
198	96	387
199	96	386
200	97	386
201	97	386
202	98	385
203	98	385
204	99	384
205	99	384
206	100	383
207	100	383
208	101	382
209	101	382
210	102	381
211	102	381
212	103	380
213	103	380
214	103	379
215	104	379
216	104	378
217	105	378
218	106	378
219	106	378
220	107	377
221	107	377
222	108	376
223	108	376
224	109	376
225	109	375
226	110	375
227	110	374
228	111	374
229	111	373
230	112	373
231	112	372
232	112	371
233	113	371
234	113	370
235	114	370
236	114	369
237	115	369
238	115	368
239	116	368
240	116	367
241	117	367
242	117	366
243	118	365
244	118	365
245	119	364
246	119	364
247	120	364
248	120	363
249	121	363
250	121	363
251	122	362
252	122	362
253	123	361
254	123	361
255	124	360
256	124	360
257	125	360
258	125	359
259	126	359
260	126	358
261	127	358
262	127	357
263	128	357
264	128	356
265	129	356
266	129	355
267	130	355
268	130	354
269	130	354
270	131	353
271	131	353
272	132	352
273	132	352
274	133	351
275	133	351
276	134	350
277	134	349
278	135	349
279	135	348
280	136	348
281	136	348
282	137	347
283	137	347
284	138	347
285	138	346
286	139	346
287	139	345
288	140	345
289	140	344
290	141	344
291	141	343
292	142	343
293	142	342
294	143	342
295	143	341
296	144	341
297	144	340
298	145	340
299	145	339
300	145	339
301	146	338
302	146	337
303	147	337
304	147	336
305	148	336
306	148	335
307	149	335
308	149	334
309	150	335
310	151	334
311	151	334
312	152	333
313	152	333
314	153	333
315	153	333
316	154	332
317	154	332
318	155	331
319	155	330
320	156	330
321	156	329
322	156	328
323	157	328
324	157	327
